"","name","rank","playerid","state"
"526","Smit Toshniwal","41","6292","MAH"
"527","Jiya Rawat","42","18174","HAR"
"528","Abhilasha A.","43","11979","TS"
"529","Prerna Shet","44","20944","KTK"
"530","Namita Pathania","45","8536","DLI"
"531","Uthsava Palit","46","9880","WB"
"532","Trisha Hegde","47","7142","KTK"
"533","Vaidehi  Choudhari","47","7330","MAH"
"534","Anjana Kumari ,","48","12264","GOA"
"535","Aishani Tiwari","49","20721","GUJ"
"536","Mihika Bhargav","50","17464","MP"
"537","Akanksha Matte","51","18649","AP"
"538","Akshaya Arumugam","52","14758","TN"
"539","Drithi Yatheesh","53","7144","KTK"
"540","Riya Mookerjee","54","3277","RLY"
"541","Awantika Pandey","55","13511","UTR"
"542","Tanishq M. ","56","3152","AP"
"543","Janani Ananthakumar","57","14688","KTK"
"544","Meenal Rautela","58","21948","DLI"
"545","Kanika Kanwal","59","3156","RLY"
"546","Anmol Kharb","59","29173","HAR"
"547","Tanvi Sharma","60","18035","PNB"
"548","Pranavi C. S.R.","61","14550","AP"
"549","Kavipriya S.","62","9950","PY"
"550","Keyura Mopati","63","8583","TS"
"551","Divyanshi Sharma","64","10835","UTR"
"552","Sutanwi Sarkar","65","20713","WB"
"553","Ananya Parween","66","9385","KTK"
"554","Gayathri Rani Jaiswal","67","14197","KTK"
"555","Unnati Bisht","68","5159","UTR"
"556","Kajal Panwar","68","25256","UP"
"557","Raksha Kandasamy","69","19846","MAH"
"558","Megha S.","69","31273","KER"
"559","Rasika Raje","70","3534","RBI"
"560","Stuti Agrawal","70","20204","DLI"
"561","Sai Uttejitha Rao Ch.","71","5763","AP"
"562","Jahnavi Nammi","72","21211","AP"
"563","Riduvarshini Ramasamy","72","36742","TN"
"564","Prerana Alvekar","73","17588","MAH"
"565","Rujula Ramu","73","19464","KTK"
"566","Shravya Dande","74","18304","TS"
"567","Akshita Manral","74","33451","UTR"
"568","Pragnya K.P.S.","75","14997","AP"
"569","Shenan Christian","76","3493","GUJ"
"570","Rituparna Das","77","2885","TS"
"571","Anandita Tamra","77","25198","RAJ"
"572","Preethi K.","78","6082","TS"
"573","Sneha Rajwar","78","13510","UTR"
"574","Pavithra Naveen","78","19134","KER"
"575","Aishwarya Mehta","78","22472","MP"
"576","Ananya Gadgil","78","31860","MAH"
"577","Rijul Saini","79","24832","HAR"
"578","Gloria Athavale V.","80","17147","KTK"
"579","Nazrin Farza ","81","26108","KER"
"580","Saloni Kumari","82","20827","BHR"
"581","Prashansa Bonam","82","21057","TS"
"582","Tanoo Chandra","82","22055","CG"
"583","Unnati Jaral ,","82","22504","J&K"
"584","Samiya Imad Farooqui ","83","8871","TS"
"585","Mrunmayee Deshpande","83","9712","MAH"
"586","Aadya Variyath","83","11762","TN"
"587","Sneha Singh","83","29492","UP"
"588","Yashvi Bhat","83","41029","DLI"
"589","Nishita Varma Pakalapati","84","7332","AP"
"590","Deepta   S.","84","16831","TN"
"591","Diya Borah","85","10037","ASM"
"592","Rikshita Chaliha","85","13370","ASM"
"593","Andrea Sarah Kurien","85","19875","KER"
"594","Sujitha C.","85","21949","PY"
"595","Sejjal Joshi","85","22433","MEG"
"596","Meenakshi Vinu","85","23941","KER"
"597","Lalthazuali Abigail","85","35384","MIZ"
"598","Shekhotolu Puro","85","37439","NAG"
"599","Winona S.","86","6142","TN"
"600","Anjali  Pradip","86","7818","KER"
"601","Adya Parashar","86","12656","DLI"
"602","Praveena S.","86","12880","TN"
"603","Khushi Thakkar","86","13610","DLI"
"604","Riya Habbu","86","15458","MAH"
"605","Mamaikya Lanka","86","17864","AP"
